Date and time,Cooling,Heating,Total
18/02/2010 15,3.516,13.76,17.276
18/02/2010 16,3.98,14.1,18.08
18/02/2010 17,2.98,15.74,18.72
18/02/2010 18,2.15,12.31,14.46
18/02/2010 19,2.99,14.94,17.93
18/02/2010 20,2.99,14.51,17.5
18/02/2010 21,2.99,17.7,20.69
18/02/2010 22,1.98,4.33,6.31
18/02/2010 23,2,5.22,7.22
19/02/2010 00,1.98,4.24,6.22
19/02/2010 01,1.99,3.72,5.71
19/02/2010 02,2,5.71,7.71
19/02/2010 03,1.98,4.97,6.95
19/02/2010 04,2,3.27,5.27
19/02/2010 05,1.99,5.36,7.35
19/02/2010 06,2.7,18.36,21.06
19/02/2010 07,4.98,19.91,24.89
19/02/2010 08,2.98,17.26,20.24
19/02/2010 09,2.98,18.86,21.84
19/02/2010 10,3.31,20.61,23.92
19/02/2010 11,20.02,0,20.02
19/02/2010 12,3.99,16.16,20.15
19/02/2010 13,2.99,13.71,16.7
19/02/2010 14,3.62,16.33,19.95
19/02/2010 15,3.36,15.72,19.08
19/02/2010 16,3.6,13.34,16.94
19/02/2010 17,3.38,15.93,19.31
19/02/2010 18,2.99,13.49,16.48
19/02/2010 19,2.99,16.92,19.91
19/02/2010 20,3.56,13.92,17.48
19/02/2010 21,2.41,16.86,19.27
19/02/2010 22,1.99,3.87,5.86
19/02/2010 23,1.99,5.49,7.48
20/02/2010 00,1.98,4.97,6.95
20/02/2010 01,1.99,5.49,7.48
20/02/2010 02,1.99,4.98,6.97
20/02/2010 03,1.99,3.51,5.5
20/02/2010 04,1.99,4.44,6.43
20/02/2010 05,1.99,7.2,9.19
20/02/2010 06,2.45,12.49,14.94
20/02/2010 07,2.98,12.36,15.34
20/02/2010 08,2.54,15.93,18.47
20/02/2010 09,3.43,13.52,16.95
20/02/2010 10,2.55,11.33,13.88
20/02/2010 11,2.99,13.32,16.31
20/02/2010 12,3.4,13.18,16.58
20/02/2010 13,2.59,10.58,13.17
20/02/2010 14,2.92,10.85,13.77
20/02/2010 15,3.44,11.39,14.83
20/02/2010 16,2.98,10.27,13.25
20/02/2010 17,2.98,9.93,12.91
20/02/2010 18,2.98,11.31,14.29
20/02/2010 19,2.98,11.25,14.23
20/02/2010 20,2.65,11.65,14.3
20/02/2010 21,3.3,9.95,13.25
20/02/2010 22,2.68,11.41,14.09
20/02/2010 23,1.98,4.97,6.95
21/02/2010 00,1.99,4.97,6.96
21/02/2010 01,1.99,5.73,7.72
21/02/2010 02,1.98,5.2,7.18
21/02/2010 03,1.99,3.75,5.74
21/02/2010 04,1.99,4.19,6.18
21/02/2010 05,1.22,5.76,6.98
21/02/2010 06,2.98,12.93,15.91
21/02/2010 07,2.76,14.75,17.51
21/02/2010 08,2.99,11.94,14.93
21/02/2010 09,2.99,11.26,14.25
21/02/2010 10,2.99,14.63,17.62
21/02/2010 11,2.15,10.94,13.09
21/02/2010 12,3.82,11.92,15.74
21/02/2010 13,2.14,10.84,12.98
21/02/2010 14,2.98,9.06,12.04
21/02/2010 15,2.99,10.85,13.84
21/02/2010 16,2.98,10.94,13.92
21/02/2010 17,2.87,12.02,14.89
21/02/2010 18,3.09,9.88,12.97
21/02/2010 19,2.89,10.05,12.94
21/02/2010 20,2.99,13.85,16.84
21/02/2010 21,2.99,9.99,12.98
21/02/2010 22,2.99,12.82,15.81
21/02/2010 23,1.99,4,5.99
22/02/2010 00,1.99,4.98,6.97
22/02/2010 01,2,4.97,6.97
22/02/2010 02,1.48,4.98,6.46
22/02/2010 03,2.49,3.98,6.47
22/02/2010 04,0.99,3.97,4.96
22/02/2010 05,1.99,5.94,7.93
22/02/2010 06,4.98,18.51,23.49
22/02/2010 07,3,22.86,25.86
22/02/2010 08,2.99,22.88,25.87
22/02/2010 09,2.99,21.89,24.88
22/02/2010 10,2.99,19.99,22.98
22/02/2010 11,3.91,13.34,17.25
22/02/2010 12,2.98,11.94,14.92
22/02/2010 13,3.08,12.67,15.75
22/02/2010 14,3.88,12.2,16.08
22/02/2010 15,3.1,8.94,12.04
22/02/2010 16,3.86,10.09,13.95
22/02/2010 17,2.98,12.78,15.76
22/02/2010 18,3.13,10.12,13.25
22/02/2010 19,2.99,10.76,13.75
22/02/2010 20,3.82,12.94,16.76
22/02/2010 21,2.97,10.15,13.12
22/02/2010 22,2.17,6.4,8.57
22/02/2010 23,1.79,4.97,6.76
23/02/2010 00,2.19,5.22,7.41
23/02/2010 01,1.77,3.98,5.75
23/02/2010 02,1.21,3.98,5.19
23/02/2010 03,2,4.98,6.98
23/02/2010 04,2.24,5.7,7.94
23/02/2010 05,1.74,5.68,7.42
23/02/2010 06,2.99,11.04,14.03
23/02/2010 07,2.99,16.29,19.28
23/02/2010 08,2.99,16.22,19.21
23/02/2010 09,3,14.93,17.93
23/02/2010 10,3.68,12.94,16.62
23/02/2010 11,3.3,13.26,16.56
23/02/2010 12,3.66,13.3,16.96
23/02/2010 13,2.98,11.32,14.3
23/02/2010 14,3.98,11.56,15.54
23/02/2010 15,3.35,11.54,14.89
23/02/2010 16,3.61,12.33,15.94
23/02/2010 17,3.36,9.35,12.71
23/02/2010 18,3.99,12.66,16.65
23/02/2010 19,3.58,13.36,16.94
23/02/2010 20,2.97,10.82,13.79
23/02/2010 21,3.41,11.5,14.91
23/02/2010 22,2.99,8.35,11.34
23/02/2010 23,1.98,5.96,7.94
24/02/2010 00,1.99,5.47,7.46
24/02/2010 01,2.99,5.48,8.47
24/02/2010 02,1.99,5.97,7.96
24/02/2010 03,2.49,5.49,7.98
24/02/2010 04,2.48,5.44,7.92
24/02/2010 05,2.48,7.34,9.82
24/02/2010 06,2.99,10.94,13.93
24/02/2010 07,2.97,11.81,14.78
24/02/2010 08,3.52,17.35,20.87
24/02/2010 09,2.99,16.49,19.48
24/02/2010 10,3.99,13.52,17.51
24/02/2010 11,3.42,12.13,15.55
24/02/2010 12,3.98,9.95,13.93
24/02/2010 13,3.39,9.95,13.34
24/02/2010 14,3.57,10.31,13.88
24/02/2010 15,3.98,8.23,12.21
24/02/2010 16,3.98,8.62,12.6
24/02/2010 17,3.98,8.97,12.95
24/02/2010 18,2.98,9.29,12.27
24/02/2010 19,3.63,8.27,11.9
24/02/2010 20,2.99,8.95,11.94
24/02/2010 21,3.32,9.65,12.97
24/02/2010 22,2.66,6.67,9.33
24/02/2010 23,1.99,5.97,7.96
25/02/2010 00,2.99,5.97,8.96
25/02/2010 01,1.99,4.97,6.96
25/02/2010 02,2.26,5.96,8.22
25/02/2010 03,2.71,5.97,8.68
25/02/2010 04,-99,-99,8.74
25/02/2010 05,-99,-99,7.84
25/02/2010 06,-99,-99,14.7
25/02/2010 07,-99,-99,14.54
25/02/2010 08,-99,-99,17.87
25/02/2010 09,-99,-99,16.94
25/02/2010 10,-99,-99,15.76
25/02/2010 11,-99,-99,15.1
25/02/2010 12,-99,-99,16.59
25/02/2010 13,-99,-99,12.89
25/02/2010 14,-99,-99,15.96
25/02/2010 15,-99,-99,13.92
25/02/2010 16,-99,-99,12.82
25/02/2010 17,-99,-99,11.94
25/02/2010 18,-99,-99,11.01
25/02/2010 19,-99,-99,12.92
25/02/2010 20,-99,-99,13.84
25/02/2010 21,-99,-99,12.84
25/02/2010 22,-99,-99,8.02
25/02/2010 23,-99,-99,9.89
26/02/2010 00,-99,-99,9.01
26/02/2010 01,-99,-99,7.95
26/02/2010 02,-99,-99,9.95
26/02/2010 03,-99,-99,8.95
26/02/2010 04,-99,-99,8.96
26/02/2010 05,-99,-99,8.94
26/02/2010 06,-99,-99,13.81
26/02/2010 07,-99,-99,18.87
26/02/2010 08,-99,-99,13.97
26/02/2010 09,-99,-99,16.76
26/02/2010 10,-99,-99,19.08
26/02/2010 11,-99,-99,14.92
26/02/2010 12,-99,-99,18.7
26/02/2010 13,-99,-99,19.02
26/02/2010 14,-99,-99,13.26
26/02/2010 15,-99,-99,14.69
26/02/2010 16,-99,-99,14.06
26/02/2010 17,-99,-99,14.93
26/02/2010 18,-99,-99,15.56
26/02/2010 19,-99,-99,15.12
26/02/2010 20,-99,-99,15.11
26/02/2010 21,-99,-99,14.73
26/02/2010 22,-99,-99,9.74
26/02/2010 23,-99,-99,8.95
27/02/2010 00,-99,-99,8.2
27/02/2010 01,-99,-99,9.52
27/02/2010 02,-99,-99,8.94
27/02/2010 03,-99,-99,9.18
27/02/2010 04,-99,-99,8.95
27/02/2010 05,-99,-99,9.42
27/02/2010 06,-99,-99,14.64
27/02/2010 07,-99,-99,15.92
27/02/2010 08,-99,-99,16.99
